date,rainfall,temperature,humidity
2023-01-01,0.17,30.5,37.5
2023-01-02,0.0,31.7,37.1
2023-01-03,0.0,30.7,31.3
2023-01-04,0.13,28.6,55.9
2023-01-05,0.0,27.1,32.9
2023-01-06,0.0,29.4,34.3
2023-01-07,0.0,33.1,34.3
2023-01-08,0.54,25.2,59.7
2023-01-09,0.0,27.0,54.9
2023-01-10,0.0,33.3,47.3
2023-01-11,0.0,30.9,58.6
2023-01-12,0.0,26.3,54.1
2023-01-13,0.06,30.4,52.4
2023-01-14,0.54,25.2,40.1
2023-01-15,0.0,25.0,41.3
2023-01-16,0.0,34.7,40.2
2023-01-17,0.0,26.9,52.1
2023-01-18,0.0,34.6,56.7
2023-01-19,0.0,27.6,59.2
2023-01-20,0.0,26.9,59.8
2023-01-21,4.53,27.5,49.3
2023-01-22,0.0,34.8,38.0
2023-01-23,0.01,25.1,46.8
2023-01-24,0.0,27.8,37.5
2023-01-25,0.38,29.4,59.4
2023-01-26,0.0,29.5,55.4
2023-01-27,0.0,29.7,33.1
2023-01-28,1.7,33.4,37.7
2023-01-29,0.0,26.1,32.7
2023-01-30,0.0,28.4,31.7
2023-01-31,0.0,25.4,40.8
2023-02-01,0.0,25.8,52.7
2023-02-02,3.27,31.7,55.5
2023-02-03,0.89,29.1,54.4
2023-02-04,0.0,28.4,47.4
2023-02-05,0.08,30.6,34.5
2023-02-06,1.76,26.9,50.7
2023-02-07,0.0,30.3,36.1
2023-02-08,0.0,31.9,30.7
2023-02-09,0.14,32.8,36.3
2023-02-10,0.0,30.3,57.7
2023-02-11,1.26,31.9,30.1
2023-02-12,0.0,26.9,57.8
2023-02-13,0.01,30.1,39.2
2023-02-14,0.0,33.1,58.5
2023-02-15,0.01,34.0,43.0
2023-02-16,0.38,28.2,49.5
2023-02-17,0.0,25.7,38.5
2023-02-18,0.0,32.6,52.8
2023-02-19,0.27,25.1,38.5
2023-02-20,0.0,26.4,51.5
2023-02-21,0.02,33.8,36.6
2023-02-22,0.22,31.3,52.9
2023-02-23,0.02,34.6,32.7
2023-02-24,2.96,28.8,53.8
2023-02-25,0.01,26.1,56.3
2023-02-26,0.0,26.2,35.0
2023-02-27,0.66,28.6,54.9
2023-02-28,0.3,30.9,50.3
2023-03-01,0.1,25.9,32.9
2023-03-02,0.01,27.5,40.1
2023-03-03,0.0,28.5,45.8
2023-03-04,0.0,33.5,33.6
2023-03-05,0.0,25.4,59.7
2023-03-06,0.0,29.5,43.1
2023-03-07,0.13,32.9,45.9
2023-03-08,0.0,33.2,47.9
2023-03-09,0.0,32.0,35.5
2023-03-10,0.04,30.3,43.7
2023-03-11,0.29,32.8,31.1
2023-03-12,0.02,34.5,51.3
2023-03-13,0.0,33.3,59.4
2023-03-14,0.0,29.1,55.8
2023-03-15,0.01,33.9,49.8
2023-03-16,0.0,33.6,43.9
2023-03-17,0.0,29.3,52.9
2023-03-18,0.23,30.4,55.0
2023-03-19,0.0,31.5,33.9
2023-03-20,0.0,33.4,59.9
2023-03-21,0.0,32.6,54.2
2023-03-22,0.05,29.8,37.1
2023-03-23,0.0,32.9,58.4
2023-03-24,0.07,25.1,59.6
2023-03-25,0.0,30.3,59.2
2023-03-26,0.0,30.2,42.8
2023-03-27,0.18,28.1,46.5
2023-03-28,0.0,30.5,47.3
2023-03-29,0.0,27.7,40.1
2023-03-30,0.0,29.4,35.8
2023-03-31,0.0,31.3,59.7
2023-04-01,0.0,28.7,44.9
2023-04-02,0.0,31.9,34.1
2023-04-03,0.17,27.8,43.1
2023-04-04,0.0,33.1,31.2
2023-04-05,0.02,25.7,58.4
2023-04-06,0.0,32.8,35.8
2023-04-07,0.0,30.5,50.3
2023-04-08,0.0,29.3,33.0
2023-04-09,0.0,34.2,48.2
2023-04-10,0.0,33.8,35.4
2023-04-11,0.0,27.0,32.4
2023-04-12,0.05,34.9,54.8
2023-04-13,0.0,29.7,58.9
2023-04-14,0.0,30.4,58.6
2023-04-15,0.0,27.1,44.0
2023-04-16,0.0,30.9,49.6
2023-04-17,0.0,25.2,36.0
2023-04-18,0.0,31.3,33.6
2023-04-19,0.01,30.3,35.9
2023-04-20,0.0,31.4,40.6
2023-04-21,0.67,34.7,45.4
2023-04-22,0.0,30.4,40.6
2023-04-23,0.0,27.3,38.5
2023-04-24,0.0,33.9,50.6
2023-04-25,0.24,33.0,33.7
2023-04-26,0.0,25.8,43.2
2023-04-27,0.0,25.3,36.5
2023-04-28,0.0,27.8,59.4
2023-04-29,0.03,26.1,36.8
2023-04-30,0.0,29.5,34.5
2023-05-01,0.0,25.4,33.5
2023-05-02,0.0,32.1,43.2
2023-05-03,0.0,33.9,51.7
2023-05-04,0.32,30.5,58.5
2023-05-05,0.01,31.7,33.7
2023-05-06,0.0,33.1,41.4
2023-05-07,0.0,34.6,43.8
2023-05-08,0.06,30.4,56.6
2023-05-09,0.03,32.6,38.7
2023-05-10,0.0,28.5,55.4
2023-05-11,0.0,30.2,46.2
2023-05-12,0.01,31.4,32.9
2023-05-13,0.0,32.5,42.8
2023-05-14,0.0,33.5,36.0
2023-05-15,0.0,32.6,39.4
2023-05-16,0.57,29.9,45.7
2023-05-17,0.16,25.9,55.9
2023-05-18,0.0,33.6,40.2
2023-05-19,0.0,32.7,56.6
2023-05-20,0.0,34.9,30.0
2023-05-21,0.06,26.1,33.0
2023-05-22,0.05,28.6,40.9
2023-05-23,0.16,34.8,48.5
2023-05-24,0.0,33.4,42.2
2023-05-25,1.32,30.2,50.3
2023-05-26,0.1,27.1,49.4
2023-05-27,0.0,26.7,38.4
2023-05-28,0.05,25.5,43.4
2023-05-29,0.0,25.1,49.1
2023-05-30,0.47,29.5,35.3
2023-05-31,0.01,32.1,38.6
2023-06-01,5.22,27.1,93.8
2023-06-02,8.24,26.0,80.8
2023-06-03,0.27,31.0,83.1
2023-06-04,14.59,26.3,80.7
2023-06-05,17.15,30.5,83.1
2023-06-06,11.92,34.4,75.3
2023-06-07,0.63,25.8,80.2
2023-06-08,18.94,28.6,70.1
2023-06-09,7.72,28.5,82.9
2023-06-10,6.19,34.6,85.2
2023-06-11,2.62,26.7,86.5
2023-06-12,10.25,33.7,82.4
2023-06-13,19.1,31.5,85.2
2023-06-14,12.12,31.4,84.0
2023-06-15,8.11,26.8,71.9
2023-06-16,21.36,30.8,81.2
2023-06-17,11.86,31.9,90.2
2023-06-18,7.46,32.9,80.1
2023-06-19,13.38,30.9,73.9
2023-06-20,6.45,28.9,87.6
2023-06-21,7.07,28.6,89.3
2023-06-22,2.32,26.6,79.5
2023-06-23,9.5,32.7,79.6
2023-06-24,7.87,32.6,71.9
2023-06-25,8.98,27.2,86.9
2023-06-26,11.38,33.3,92.0
2023-06-27,3.96,32.8,70.1
2023-06-28,16.33,32.3,72.1
2023-06-29,26.49,29.4,74.1
2023-06-30,22.42,33.6,89.2
2023-07-01,12.7,29.8,76.2
2023-07-02,7.48,33.3,88.9
2023-07-03,16.37,34.6,85.7
2023-07-04,4.82,32.2,76.7
2023-07-05,2.15,27.2,85.3
2023-07-06,22.71,26.0,77.9
2023-07-07,6.93,33.2,85.1
2023-07-08,3.25,25.3,73.9
2023-07-09,21.13,30.9,84.4
2023-07-10,3.16,28.4,93.1
2023-07-11,4.81,25.6,71.4
2023-07-12,12.65,30.9,90.4
2023-07-13,20.58,27.6,93.3
2023-07-14,12.39,30.6,70.2
2023-07-15,4.46,35.0,75.3
2023-07-16,26.89,30.9,74.5
2023-07-17,16.6,27.7,85.4
2023-07-18,19.1,30.9,75.8
2023-07-19,4.34,34.1,82.4
2023-07-20,9.9,33.4,75.6
2023-07-21,7.7,34.7,89.6
2023-07-22,0.87,25.2,78.2
2023-07-23,6.49,33.2,75.6
2023-07-24,12.75,30.8,80.1
2023-07-25,10.32,26.9,86.4
2023-07-26,3.72,25.9,94.2
2023-07-27,10.0,30.9,75.9
2023-07-28,2.01,34.1,86.8
2023-07-29,5.6,32.5,72.2
2023-07-30,1.76,29.8,89.1
2023-07-31,18.06,34.1,82.0
2023-08-01,11.92,33.1,80.0
2023-08-02,4.83,30.0,87.4
2023-08-03,8.92,27.5,90.9
2023-08-04,21.01,25.9,70.8
2023-08-05,10.32,28.9,76.6
2023-08-06,11.14,29.0,83.5
2023-08-07,7.96,25.7,84.6
2023-08-08,10.24,31.8,73.5
2023-08-09,14.86,30.2,75.6
2023-08-10,49.61,33.4,74.8
2023-08-11,3.17,29.0,94.5
2023-08-12,13.71,30.4,87.2
2023-08-13,6.43,30.5,92.8
2023-08-14,13.63,32.5,74.8
2023-08-15,12.02,33.7,86.3
2023-08-16,19.16,29.3,72.7
2023-08-17,6.52,29.3,77.2
2023-08-18,3.58,33.8,78.6
2023-08-19,14.35,26.8,71.5
2023-08-20,8.7,33.8,73.5
2023-08-21,4.78,27.8,93.9
2023-08-22,5.4,31.3,84.3
2023-08-23,3.03,33.7,82.6
2023-08-24,5.83,29.0,73.7
2023-08-25,4.92,27.2,71.5
2023-08-26,2.55,31.9,92.1
2023-08-27,7.38,29.5,78.2
2023-08-28,9.8,28.0,76.0
2023-08-29,10.35,31.3,85.4
2023-08-30,29.17,29.2,85.3
2023-08-31,8.58,31.8,91.3
2023-09-01,10.11,34.1,74.5
2023-09-02,5.15,30.1,90.5
2023-09-03,12.18,33.8,94.7
2023-09-04,2.79,33.8,75.6
2023-09-05,13.28,27.5,82.4
2023-09-06,18.39,34.8,91.0
2023-09-07,19.35,28.1,92.9
2023-09-08,8.38,29.9,73.8
2023-09-09,12.65,32.7,91.3
2023-09-10,10.09,32.9,73.7
2023-09-11,15.23,34.6,75.5
2023-09-12,6.54,28.9,93.0
2023-09-13,14.59,26.1,81.3
2023-09-14,17.41,25.0,89.5
2023-09-15,8.43,32.9,80.0
2023-09-16,2.7,31.6,82.6
2023-09-17,16.66,34.7,84.2
2023-09-18,3.75,33.4,82.2
2023-09-19,5.75,33.0,85.3
2023-09-20,4.83,31.0,92.8
2023-09-21,12.03,26.7,72.0
2023-09-22,7.01,34.2,90.6
2023-09-23,10.48,26.2,93.7
2023-09-24,34.56,25.8,86.5
2023-09-25,3.75,33.8,85.4
2023-09-26,4.08,27.8,73.2
2023-09-27,9.9,27.4,94.9
2023-09-28,2.54,30.4,92.6
2023-09-29,8.25,32.6,87.5
2023-09-30,13.33,33.6,77.0
2023-10-01,0.86,25.0,37.0
2023-10-02,0.0,28.5,42.6
2023-10-03,0.0,34.4,40.0
2023-10-04,0.0,29.3,34.0
2023-10-05,1.29,34.2,50.6
2023-10-06,0.05,26.1,37.0
2023-10-07,0.0,26.0,41.2
2023-10-08,0.24,29.1,53.9
2023-10-09,0.01,26.6,42.3
2023-10-10,0.0,33.5,32.0
2023-10-11,0.41,27.1,55.2
2023-10-12,0.0,29.1,49.3
2023-10-13,0.0,34.4,34.1
2023-10-14,0.16,25.0,53.6
2023-10-15,0.0,28.9,58.8
2023-10-16,0.02,35.0,59.9
2023-10-17,0.0,34.2,59.8
2023-10-18,2.08,34.5,45.6
2023-10-19,0.43,25.8,38.2
2023-10-20,0.02,29.1,51.1
2023-10-21,1.59,33.3,57.9
2023-10-22,0.0,26.5,32.9
2023-10-23,0.02,33.6,59.0
2023-10-24,0.64,27.5,32.3
2023-10-25,0.05,29.7,48.4
2023-10-26,0.0,29.6,51.7
2023-10-27,0.0,31.7,32.6
2023-10-28,0.0,31.3,59.7
2023-10-29,0.0,29.0,31.5
2023-10-30,0.0,25.5,44.7
2023-10-31,0.0,32.2,56.6
2023-11-01,0.05,27.4,47.4
2023-11-02,0.0,34.0,52.7
2023-11-03,2.65,27.9,44.6
2023-11-04,0.0,34.8,36.9
2023-11-05,0.0,31.7,33.8
2023-11-06,0.0,29.4,55.3
2023-11-07,0.09,32.0,38.0
2023-11-08,0.0,25.2,38.2
2023-11-09,0.01,25.4,39.0
2023-11-10,0.0,34.7,57.7
2023-11-11,0.86,28.2,46.0
2023-11-12,0.07,31.6,36.9
2023-11-13,0.0,26.2,47.5
2023-11-14,0.0,28.6,51.2
2023-11-15,1.67,33.1,37.4
2023-11-16,0.0,27.0,54.3
2023-11-17,1.41,26.5,40.0
2023-11-18,0.06,28.8,36.0
2023-11-19,0.0,27.9,38.4
2023-11-20,0.0,28.6,49.8
2023-11-21,0.0,31.7,32.3
2023-11-22,0.0,27.3,30.0
2023-11-23,0.01,27.9,51.0
2023-11-24,0.0,32.2,56.6
2023-11-25,0.03,35.0,43.1
2023-11-26,0.94,26.3,41.5
2023-11-27,0.01,27.2,32.1
2023-11-28,0.14,32.9,34.8
2023-11-29,0.02,27.3,36.1
2023-11-30,0.0,25.8,43.2
2023-12-01,0.0,27.3,49.7
2023-12-02,0.0,34.2,47.4
2023-12-03,0.0,25.2,42.1
2023-12-04,2.96,31.0,44.8
2023-12-05,0.0,32.3,31.3
2023-12-06,0.02,26.8,45.0
2023-12-07,0.0,30.7,41.8
2023-12-08,0.0,33.8,32.5
2023-12-09,0.01,32.3,48.8
2023-12-10,0.55,32.5,47.2
2023-12-11,0.87,34.6,35.9
2023-12-12,0.07,29.2,50.3
2023-12-13,0.0,33.4,33.0
2023-12-14,0.01,31.8,33.6
2023-12-15,0.45,34.8,39.8
2023-12-16,0.0,29.7,37.5
2023-12-17,0.0,31.1,35.7
2023-12-18,0.04,33.4,54.6
2023-12-19,0.04,29.6,58.2
2023-12-20,0.23,27.6,36.5
2023-12-21,0.44,27.1,35.1
2023-12-22,0.6,34.3,41.4
2023-12-23,0.02,27.5,38.7
2023-12-24,0.0,34.4,30.2
2023-12-25,0.0,32.4,47.9
2023-12-26,0.0,29.8,40.9
2023-12-27,0.0,33.6,39.3
2023-12-28,0.0,25.0,53.1
2023-12-29,0.0,26.2,37.0
2023-12-30,0.0,34.5,54.1
2023-12-31,0.41,26.4,42.9
